team,opponent,home_score,away_score,game_duration,attendance,game_start,game_finish
TOR,BOS,6,3,2:24,50171,2008-04-04 19:07:00,2008-04-04 21:31:00
TOR,BOS,10,2,3:02,35238,2008-04-05 15:07:00,2008-04-05 18:09:00
TOR,BOS,7,4,2:58,30114,2008-04-06 13:07:00,2008-04-06 16:05:00
TOR,OAK,8,9,3:16,31336,2008-04-08 19:07:00,2008-04-08 22:23:00
TOR,OAK,3,6,3:31,16102,2008-04-09 19:07:00,2008-04-09 22:38:00
TOR,OAK,2,3,3:54,16521,2008-04-10 19:07:00,2008-04-10 23:01:00
TOR,TEX,5,7,4:53,15686,2008-04-16 19:07:00,2008-04-17 00:00:00
TOR,TEX,1,4,2:33,15809,2008-04-17 19:07:00,2008-04-17 21:40:00
TOR,DET,4,8,3:08,24294,2008-04-18 19:07:00,2008-04-18 22:15:00
TOR,DET,3,2,2:54,31052,2008-04-19 15:07:00,2008-04-19 18:01:00
TOR,DET,5,3,2:54,30139,2008-04-20 13:07:00,2008-04-20 16:01:00
TOR,DET,1,5,3:01,25287,2008-04-21 12:37:00,2008-04-21 15:38:00
TOR,CHW,2,0,2:10,21057,2008-05-02 19:07:00,2008-05-02 21:17:00
TOR,CHW,5,2,2:36,27778,2008-05-03 15:07:00,2008-05-03 17:43:00
TOR,CHW,4,3,2:12,26247,2008-05-04 13:07:00,2008-05-04 15:19:00
TOR,CHW,1,0,2:40,16602,2008-05-05 19:07:00,2008-05-05 21:47:00
TOR,TBR,4,5,2:51,30397,2008-05-06 19:07:00,2008-05-06 21:58:00
TOR,TBR,6,2,2:47,19276,2008-05-07 19:07:00,2008-05-07 21:54:00
TOR,TBR,3,8,4:04,21118,2008-05-08 19:07:00,2008-05-08 23:11:00
TOR,LAA,1,3,2:46,31487,2008-05-20 19:07:00,2008-05-20 21:53:00
TOR,LAA,3,4,2:50,20163,2008-05-21 19:07:00,2008-05-21 21:57:00
TOR,LAA,4,3,2:37,22007,2008-05-22 19:07:00,2008-05-22 21:44:00
TOR,KCR,7,1,2:14,24207,2008-05-23 19:07:00,2008-05-23 21:21:00
TOR,KCR,6,0,2:37,28162,2008-05-24 15:07:00,2008-05-24 17:44:00
TOR,KCR,3,1,2:40,29315,2008-05-25 13:07:00,2008-05-25 15:47:00
TOR,KCR,7,2,2:32,23157,2008-05-26 12:37:00,2008-05-26 15:09:00
TOR,BAL,5,6,3:15,23649,2008-06-06 19:07:00,2008-06-06 22:22:00
TOR,BAL,5,9,2:57,25122,2008-06-07 15:07:00,2008-06-07 18:04:00
TOR,BAL,5,4,2:30,25365,2008-06-08 13:07:00,2008-06-08 15:37:00
TOR,SEA,2,3,3:21,20073,2008-06-09 19:07:00,2008-06-09 22:28:00
TOR,SEA,3,1,2:02,36170,2008-06-10 19:07:00,2008-06-10 21:09:00
TOR,SEA,1,2,2:34,35702,2008-06-11 12:37:00,2008-06-11 15:11:00
TOR,CHC,3,2,3:09,27803,2008-06-13 19:07:00,2008-06-13 22:16:00
TOR,CHC,2,6,2:38,34048,2008-06-14 15:07:00,2008-06-14 17:45:00
TOR,CHC,4,7,2:59,40738,2008-06-15 13:07:00,2008-06-15 16:06:00
TOR,CIN,14,1,2:42,28153,2008-06-24 19:07:00,2008-06-24 21:49:00
TOR,CIN,5,6,3:35,25437,2008-06-25 19:07:00,2008-06-25 22:42:00
TOR,CIN,7,1,2:26,25129,2008-06-26 19:07:00,2008-06-26 21:33:00
TOR,ATL,0,4,2:33,24282,2008-06-27 19:07:00,2008-06-27 21:40:00
TOR,ATL,9,5,2:58,28518,2008-06-28 15:07:00,2008-06-28 18:05:00
TOR,ATL,1,0,2:35,30514,2008-06-29 13:07:00,2008-06-29 15:42:00
TOR,BAL,7,6,3:03,23276,2008-07-08 19:07:00,2008-07-08 22:10:00
TOR,BAL,9,8,3:03,22365,2008-07-09 19:07:00,2008-07-09 22:10:00
TOR,BAL,6,5,2:39,22279,2008-07-10 19:07:00,2008-07-10 21:46:00
TOR,NYY,5,0,2:21,43078,2008-07-11 19:07:00,2008-07-11 21:28:00
TOR,NYY,4,9,3:19,44363,2008-07-12 15:07:00,2008-07-12 18:26:00
TOR,NYY,4,1,2:35,43854,2008-07-13 13:07:00,2008-07-13 15:42:00
TOR,SEA,5,4,3:32,28463,2008-07-25 19:07:00,2008-07-25 22:39:00
TOR,SEA,8,3,2:26,33041,2008-07-26 15:07:00,2008-07-26 17:33:00
TOR,SEA,1,5,2:28,33367,2008-07-27 13:07:00,2008-07-27 15:35:00
TOR,TBR,3,1,2:24,23476,2008-07-28 19:07:00,2008-07-28 21:31:00
TOR,TBR,0,3,2:27,26791,2008-07-29 19:07:00,2008-07-29 21:34:00
TOR,TBR,2,3,2:54,40322,2008-07-30 12:37:00,2008-07-30 15:31:00
TOR,OAK,6,1,2:43,24761,2008-08-04 19:07:00,2008-08-04 21:50:00
TOR,OAK,4,3,2:38,23580,2008-08-05 19:07:00,2008-08-05 21:45:00
TOR,OAK,5,1,2:15,29256,2008-08-06 19:07:00,2008-08-06 21:22:00
TOR,OAK,6,4,2:59,28821,2008-08-07 19:07:00,2008-08-07 22:06:00
TOR,CLE,2,5,2:47,31627,2008-08-08 19:07:00,2008-08-08 21:54:00
TOR,CLE,2,4,2:28,39623,2008-08-09 15:07:00,2008-08-09 17:35:00
TOR,CLE,0,4,2:34,36447,2008-08-10 13:07:00,2008-08-10 15:41:00
TOR,NYY,2,1,2:28,37221,2008-08-19 19:07:00,2008-08-19 21:35:00
TOR,NYY,1,5,2:22,34910,2008-08-20 19:07:00,2008-08-20 21:29:00
TOR,NYY,14,3,2:57,37037,2008-08-21 19:07:00,2008-08-21 22:04:00
TOR,BOS,4,8,3:18,40181,2008-08-22 19:07:00,2008-08-22 22:25:00
TOR,BOS,11,0,3:09,44896,2008-08-23 15:07:00,2008-08-23 18:16:00
TOR,BOS,5,6,3:42,44521,2008-08-24 13:07:00,2008-08-24 16:49:00
TOR,MIN,7,5,2:53,21254,2008-09-02 19:07:00,2008-09-02 22:00:00
TOR,MIN,5,4,3:35,21475,2008-09-03 19:07:00,2008-09-03 22:42:00
TOR,MIN,9,0,2:46,25128,2008-09-04 19:07:00,2008-09-04 21:53:00
TOR,TBR,6,4,2:24,32477,2008-09-05 19:07:00,2008-09-05 21:31:00
TOR,TBR,7,4,4:15,34649,2008-09-06 15:07:00,2008-09-06 19:22:00
TOR,TBR,1,0,2:39,39854,2008-09-07 13:07:00,2008-09-07 15:46:00
TOR,BAL,0,2,2:35,25746,2008-09-16 19:07:00,2008-09-16 21:42:00
TOR,BAL,8,7,2:41,24546,2008-09-17 19:07:00,2008-09-17 21:48:00
TOR,BAL,3,2,2:36,29063,2008-09-18 19:07:00,2008-09-18 21:43:00
TOR,BOS,3,4,3:16,34982,2008-09-19 19:07:00,2008-09-19 22:23:00
TOR,BOS,6,3,2:40,40554,2008-09-20 15:07:00,2008-09-20 17:47:00
TOR,BOS,0,3,2:43,38814,2008-09-21 13:07:00,2008-09-21 15:50:00
TOR,NYY,1,3,2:49,27216,2008-09-23 19:07:00,2008-09-23 21:56:00
TOR,NYY,2,6,2:46,28701,2008-09-24 19:07:00,2008-09-24 21:53:00
TOR,NYY,8,2,2:33,44346,2008-09-25 19:07:00,2008-09-25 21:40:00
TOR,DET,12,5,2:43,48027,2009-04-06 19:07:00,2009-04-06 21:50:00
TOR,DET,5,4,2:40,16790,2009-04-07 19:07:00,2009-04-07 21:47:00
TOR,DET,1,5,2:25,12145,2009-04-08 19:07:00,2009-04-08 21:32:00
TOR,DET,6,2,2:41,15297,2009-04-09 12:37:00,2009-04-09 15:18:00
TOR,OAK,5,8,3:08,18272,2009-04-17 19:07:00,2009-04-17 22:15:00
TOR,OAK,4,2,3:23,21698,2009-04-18 15:07:00,2009-04-18 18:30:00
TOR,OAK,1,0,2:19,22164,2009-04-19 13:07:00,2009-04-19 15:26:00
TOR,TEX,4,5,2:46,20996,2009-04-21 19:07:00,2009-04-21 21:53:00
TOR,TEX,8,7,3:48,13090,2009-04-22 19:07:00,2009-04-22 22:55:00
TOR,TEX,5,2,2:38,15487,2009-04-23 19:07:00,2009-04-23 21:45:00
TOR,BAL,8,4,2:59,20202,2009-05-01 19:07:00,2009-05-01 22:06:00
TOR,BAL,5,4,3:24,18331,2009-05-02 15:07:00,2009-05-02 18:31:00
TOR,BAL,4,3,2:15,20418,2009-05-03 13:07:00,2009-05-03 15:22:00
TOR,CLE,7,9,3:59,15295,2009-05-04 19:07:00,2009-05-04 23:06:00
TOR,CLE,10,6,3:12,22005,2009-05-05 12:37:00,2009-05-05 15:49:00
TOR,NYY,5,1,2:22,43737,2009-05-12 19:07:00,2009-05-12 21:29:00
TOR,NYY,2,8,3:09,20164,2009-05-13 19:07:00,2009-05-13 22:16:00
TOR,NYY,2,3,2:52,22667,2009-05-14 19:07:00,2009-05-14 21:59:00
TOR,CHW,8,3,2:23,17241,2009-05-15 19:07:00,2009-05-15 21:30:00
TOR,CHW,2,1,2:26,21759,2009-05-16 15:07:00,2009-05-16 17:33:00
TOR,CHW,8,2,2:28,37147,2009-05-17 13:07:00,2009-05-17 15:35:00
TOR,CHW,3,2,2:18,24206,2009-05-18 12:37:00,2009-05-18 14:55:00
TOR,BOS,6,3,2:43,32026,2009-05-29 19:07:00,2009-05-29 21:50:00
